dateTime, battery, fileSize, sleepiness, pressure, lux, heartRate, ppgGreen, ppgRed, ppgIR, saturation, accelerometerZ, accelerometerX, accelerometerY, gyroscopeZ, gyroscopeX, gyroscopeY
2022-05-06T01:08:41-03:00,8.0,0.71488,1,1021.57153,0.0,72.0,1960876.0,6188424.0,6498104.0,98.0,4.759673,-0.8690952,8.707711,0.0012217305,-0.002443461,-0.0012217305
2022-05-06T01:08:44-03:00,8.0,0.7150383,1,1021.54736,0.0,70.0,1991519.0,6179457.0,6483546.0,97.0,4.7381253,-0.79726917,8.676587,0.0061086523,0.0,0.0
2022-05-06T01:08:47-03:00,8.0,0.7151823,1,1021.5669,0.0,70.0,1927638.0,6186031.0,6493012.0,97.0,4.709395,-0.8283938,8.688558,-0.0061086523,0.0,0.004886922
2022-05-06T01:08:50-03:00,7.0,0.71533203,1,1021.5918,0.0,69.0,1962437.0,6186061.0,6490397.0,97.0,4.709395,-0.830788,8.66701,0.0012217305,0.0012217305,-0.0036651916
2022-05-06T01:08:53-03:00,7.0,0.71549034,1,1021.5591,0.0,67.0,1954827.0,6183847.0,6488888.0,97.0,4.6686935,-0.81402856,8.66701,0.0036651916,0.0,-0.0036651916
2022-05-06T01:08:56-03:00,7.0,0.7156429,1,1021.5862,0.0,67.0,1945022.0,6181763.0,6484978.0,97.0,4.6950297,-0.82599956,8.662222,0.014660766,-0.002443461,-0.008552114
2022-05-06T01:08:59-03:00,7.0,0.7158022,1,1021.58105,0.0,68.0,1937300.0,6182445.0,6486430.0,97.0,4.7309427,-0.8690952,8.722076,0.0,-0.0036651916,0.002443461
2022-05-06T01:09:02-03:00,7.0,0.7159538,1,1021.58984,0.0,70.0,1940414.0,6183189.0,6486171.0,97.0,4.711789,-0.8523358,8.719683,-0.012217305,0.002443461,0.0061086523
2022-05-06T01:09:05-03:00,7.0,0.71611214,1,1021.5493,0.0,71.0,1933829.0,6187555.0,6487670.0,98.0,4.699818,-0.6703765,8.6574335,0.0,0.0,-0.0012217305
2022-05-06T01:09:08-03:00,7.0,0.71625614,1,1021.562,0.0,74.0,1933635.0,6189732.0,6492778.0,98.0,4.7548847,-0.81881696,8.623915,0.007330383,-0.0012217305,-0.002443461
